"X.1","Area","Mean","Min","Max","X","Y","distance_cm","cond","day","min"
44,0,153,153,153,724,948,12.4054837514644,"ctl","1",15
45,0,180,180,180,681,964,12.6531669647273,"ctl","1",15
3,0,94,94,94,2649,1127,1.30822522398187,"ctl","1",30
4,0,108,108,108,2316,1136,3.23835668035285,"ctl","1",30
5,0,64,64,64,2316,1149,3.2388986647345,"ctl","1",30
6,0,102,102,102,2215,1153,3.82436687023427,"ctl","1",30
7,0,117,117,117,1650,902,7.08811343431207,"ctl","1",30
8,0,128,128,128,1589,1139,7.45149311665459,"ctl","1",30
9,0,195,195,195,1316,925,9.02462362994399,"ctl","1",30
10,0,197,197,197,1120,1162,10.1703369216437,"ctl","1",30
11,0,113,113,113,1059,1170,10.524169340648,"ctl","1",30
12,0,103,103,103,1121,902,10.1537021702377,"ctl","1",30
13,0,95,95,95,1052,904,10.5536449527884,"ctl","1",30
14,0,122,122,122,946,903,11.1678800216219,"ctl","1",30
15,0,152,152,152,921,906,11.3128816892661,"ctl","1",30
16,0,210,210,210,871,908,11.6027182601295,"ctl","1",30
17,0,211,211,211,874,927,11.5861251998298,"ctl","1",30
18,0,190,190,190,798,1136,12.0352634877917,"ctl","1",30
19,0,98,98,98,765,1152,12.2271676500017,"ctl","1",30
20,0,190,190,190,764,1167,12.233588080369,"ctl","1",30
21,0,150,150,150,720,1149,12.4878204464686,"ctl","1",30
22,0,145,145,145,682,1159,12.708449780906,"ctl","1",30
23,0,128,128,128,711,1100,12.537933156218,"ctl","1",30
24,0,170,170,170,709,1140,12.5511909280153,"ctl","1",30
25,0,156,156,156,613,1159,13.1083091812442,"ctl","1",30
26,0,123,123,123,607,1150,13.1427043439257,"ctl","1",30
27,0,200,200,200,607,1133,13.141995595119,"ctl","1",30
28,0,162,162,162,615,1103,13.0943843517464,"ctl","1",30
29,0,188,188,188,649,1103,12.8973521834639,"ctl","1",30
30,0,213,213,213,589,1120,13.2457647586516,"ctl","1",30
31,0,183,183,183,626,1075,13.0294712992674,"ctl","1",30
32,0,122,122,122,601,1065,13.17393098253,"ctl","1",30
33,0,112,112,112,601,1046,13.1731388515107,"ctl","1",30
34,0,172,172,172,608,1013,13.1311975985923,"ctl","1",30
35,0,193,193,193,608,990,13.1302387031478,"ctl","1",30
36,0,182,182,182,630,955,13.0012881114216,"ctl","1",30
37,0,168,168,168,607,952,13.1344495048822,"ctl","1",30
38,0,132,132,132,602,926,13.162340854984,"ctl","1",30
39,0,182,182,182,608,914,13.1270701790705,"ctl","1",30
40,0,126,126,126,627,916,13.0170473495957,"ctl","1",30
41,0,156,156,156,646,916,12.9069411379084,"ctl","1",30
42,0,155,155,155,810,906,11.9561337680709,"ctl","1",30
43,0,151,151,151,803,1164,12.0074555199025,"ctl","1",30
3,0,118,118,118,2638,1061,1.36032039170561,"ctl","1",5
4,0,74,74,74,2564,985,1.785050596887,"ctl","1",5
5,0,72,72,72,2515,911,2.06580318118752,"ctl","1",5
6,0,53,53,53,2519,895,2.04243059205698,"ctl","1",5
7,0,102,102,102,2442,922,2.48656471524157,"ctl","1",5
8,0,123,123,123,2392,1069,2.77763035150275,"ctl","1",5
9,0,110,110,110,2387,1120,2.80748464572708,"ctl","1",5
10,0,89,89,89,2334,1156,3.11354609123066,"ctl","1",5
11,0,139,139,139,2307,1119,3.26832426519682,"ctl","1",5
12,0,78,78,78,2332,1077,3.12344030419691,"ctl","1",5
13,0,107,107,107,2262,1115,3.52747574332675,"ctl","1",5
14,0,111,111,111,2274,1059,3.45719318682255,"ctl","1",5
15,0,115,115,115,2308,906,3.25817600234872,"ctl","1",5
16,0,53,53,53,2185,1161,3.97200124065366,"ctl","1",5
17,0,164,164,164,2132,1168,4.27746532562423,"ctl","1",5
18,0,91,91,91,2478,1005,2.28088730413535,"ctl","1",5
19,0,76,76,76,2476,983,2.29195563952855,"ctl","1",5
20,0,123,123,123,2083,1017,4.55663181471642,"ctl","1",5
21,0,80,80,80,2086,907,4.53708370623973,"ctl","1",5
22,0,154,154,154,1952,1098,5.31295891163421,"ctl","1",5
23,0,124,124,124,2047,1054,4.76478106251095,"ctl","1",5
24,0,71,71,71,1899,1116,5.61864958163454,"ctl","1",5
25,0,130,130,130,1856,1167,5.86741247946055,"ctl","1",5
